Município;POSTO DE SAUDE;CENTRO DE SAUDE/UNIDADE BASICA;POLICLINICA;HOSPITAL GERAL;HOSPITAL ESPECIALIZADO;UNIDADE MISTA;PRONTO SOCORRO GERAL;PRONTO SOCORRO ESPECIALIZADO;CONSULTORIO ISOLADO;CLINICA/CENTRO DE ESPECIALIDADE;UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO);UNIDADE MOVEL TERRESTRE;UNIDADE MOVEL DE NIVEL PRE-HOSPITALAR NA AREA DE URGENCIA;FARMACIA;UNIDADE DE VIGILANCIA EM SAUDE;COOPERATIVA OU EMPRESA DE CESSAO DE TRABALHADORES NA SAUDE;CENTRO DE PARTO NORMAL - ISOLADO;HOSPITAL/DIA - ISOLADO;CENTRAL DE GESTAO EM SAUDE;CENTRO DE ATENCAO HEMOTERAPIA E OU HEMATOLOGICA;CENTRO DE ATENCAO PSICOSSOCIAL;CENTRO DE APOIO A SAUDE DA FAMILIA;UNIDADE DE ATENCAO A SAUDE INDIGENA;PRONTO ATENDIMENTO;POLO ACADEMIA DA SAUDE;TELESSAUDE;CENTRAL DE REGULACAO MEDICA DAS URGENCIAS;SERVICO DE ATENCAO DOMICILIAR ISOLADO(HOME CARE);UNIDADE DE ATENCAO EM REGIME RESIDENCIAL;OFICINA ORTOPEDICA;LABORATORIO DE SAUDE PUBLICA;CENTRAL DE REGULACAO DO ACESSO;CENTRAL DE NOTIFICACAO,CAPTACAO E DISTRIB DE ORGAOS ESTADUAL;POLO DE PREVENCAO DE DOENCAS E AGRAVOS E PROMOCAO DA SAUDE;CENTRAL DE ABASTECIMENTO;CENTRO DE IMUNIZACAO;Total;Equipes_Dez_2024;Total_Equipes
210255 CAMPESTRE DO MARANHAO;;5.0;2.0;1.0;;;;;;;;;1.0;1.0;1.0;;;;1.0;;1.0;;;;1.0;;;;;;;;;;1.0;;15.0;15.0;15.0
210260 CANDIDO MENDES;3.0;6.0;;1.0;;;;;;;;;;1.0;1.0;;;;1.0;;;;;;;;;;;;;;;;;;13.0;22.0;22.0
210270 CANTANHEDE;1.0;8.0;;1.0;;;;;;;;;;;1.0;;;;1.0;;;;;;;;;;;;;;;;;;12.0;22.0;22.0
210275 CAPINZAL DO NORTE;;6.0;;1.0;;;;;;1.0;;;;;1.0;;;;1.0;;1.0;;;;;;;;;;;;;;;;11.0;11.0;11.0
210280 CAROLINA;2.0;9.0;;1.0;;;;;1.0;2.0;1.0;;1.0;;;;;;1.0;;;1.0;;;;;;;;;;;;;;;19.0;23.0;23.0
210290 CARUTAPERA;;9.0;;1.0;;;;;;2.0;3.0;;1.0;1.0;1.0;;;;1.0;;;;;;;;;;;;1.0;;;;2.0;;22.0;19.0;19.0
210300 CAXIAS;;39.0;4.0;2.0;3.0;;;;3.0;50.0;15.0;;10.0;7.0;5.0;;;;1.0;1.0;5.0;;;1.0;;;1.0;;;;;2.0;;1.0;2.0;;152.0;129.0;129.0
210310 CEDRAL;;7.0;;1.0;;;;;;;;;;;1.0;;;;1.0;;1.0;;;;;;;;;;;;;;;;11.0;10.0;10.0
210312 CENTRAL DO MARANHAO;;4.0;;1.0;;;;;;;;;;;1.0;;;;1.0;;;1.0;;;1.0;;;;;;;;;;;;9.0;10.0;10.0
210315 CENTRO DO GUILHERME;;6.0;;;;;;;;;1.0;;;;1.0;;;;1.0;;;1.0;1.0;;;;;;;;;;;;;;11.0;17.0;17.0
210317 CENTRO NOVO DO MARANHAO;2.0;7.0;;;;1.0;;;;;;1.0;;;1.0;;;;1.0;;;1.0;;;;;;;;;;;;;;;14.0;23.0;23.0
210320 CHAPADINHA;;28.0;1.0;3.0;;;;;17.0;9.0;6.0;1.0;1.0;1.0;;;;;1.0;1.0;1.0;;;1.0;2.0;;;;;;1.0;1.0;;;1.0;1.0;77.0;51.0;51.0
210325 CIDELANDIA;8.0;7.0;;1.0;;;;;;1.0;1.0;;1.0;;1.0;;;;1.0;;1.0;;;;1.0;;;;;;;;;;;1.0;24.0;16.0;16.0
210330 CODO;;23.0;1.0;1.0;;;;;4.0;17.0;10.0;;5.0;1.0;;;;;1.0;1.0;1.0;;;1.0;2.0;;1.0;;;;;;;;1.0;;70.0;73.0;73.0
210340 COELHO NETO;;12.0;;2.0;;;;;1.0;11.0;;1.0;1.0;1.0;2.0;;;;1.0;1.0;2.0;;;1.0;1.0;;;;;;;;;;;;37.0;38.0;38.0
210350 COLINAS;9.0;20.0;;2.0;1.0;;;;1.0;7.0;5.0;;2.0;1.0;1.0;;;;1.0;1.0;2.0;;;;1.0;;;;;;;;;;;1.0;55.0;47.0;47.0
210355 CONCEICAO DO LAGO-ACU;;5.0;;1.0;;;;;;;;;;;;;;;1.0;;;;;;1.0;;;;;;;;;;;;8.0;19.0;19.0
210360 COROATA;;18.0;;1.0;;;;;3.0;10.0;5.0;;5.0;2.0;;;;;1.0;;1.0;;;1.0;1.0;;1.0;;;;;;;2.0;1.0;;52.0;39.0;39.0
210370 CURURUPU;11.0;13.0;;1.0;;;1.0;;;3.0;;;;;1.0;;;;1.0;1.0;1.0;;;;;;;;;;1.0;;;;;;34.0;28.0;28.0
210375 DAVINOPOLIS;;7.0;;1.0;;;;;;;1.0;;;1.0;2.0;;;;1.0;;;;;;;;;;;;;;;;;;13.0;14.0;14.0
210380 DOM PEDRO;;9.0;;1.0;;;;;;2.0;2.0;;1.0;1.0;;;;;1.0;;1.0;1.0;;;1.0;;;;;;;;;;;;20.0;24.0;24.0
210390 DUQUE BACELAR;2.0;5.0;;1.0;;;;;;3.0;;;1.0;;2.0;;;;1.0;;;;;;1.0;;;;;;;;;;;;16.0;13.0;13.0
210400 ESPERANTINOPOLIS;2.0;10.0;;1.0;;;;;;4.0;;;;;;;;;1.0;;1.0;;;;;;;;;;;;;;;;19.0;18.0;18.0
210405 ESTREITO;;10.0;;2.0;;;;;3.0;6.0;5.0;;1.0;;2.0;;;;1.0;;1.0;;;1.0;;;;;;;;;;;;;32.0;36.0;36.0
210407 FEIRA NOVA DO MARANHAO;1.0;2.0;;;;1.0;;;;;1.0;1.0;;;;;;;1.0;;;;;;;;;;;;1.0;;;;;;8.0;9.0;9.0
210408 FERNANDO FALCAO;;4.0;;1.0;;;;;;;;1.0;;;;;;;1.0;;;;2.0;;;;;;;;;;;;1.0;;10.0;11.0;11.0
210409 FORMOSA DA SERRA NEGRA;2.0;10.0;;;;1.0;;;;4.0;1.0;1.0;;;2.0;;;;1.0;;1.0;;;;;;;;;;;;;;;;23.0;24.0;24.0
